target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Fornax-A,fixed,rv2_coarse,1,0.45,1306,3788,1642041899.3500192,2031124387.578818,389082488.22879887,0.4639118487101352,0.6427109033860361,0
Fornax-A,fixed,rv2_coarse,2,0.7,1144,3569,13071514.033255197,395710818.0187728,382639303.98551756,1.2745447414916442,0.20247042682811034,0
Fornax-A,fixed,rv2_coarse,3,0.9,1148,3579,32574919.709168117,3322598.649552948,-29252321.05961517,-0.96015875114814,0.3369753233658028,0
Fornax-A,fixed,rv2_coarse,4,1.31,1095,3576,1683556.5417237442,2222230.27616401,538673.7344402659,2.0450453573774543,0.040850386610956635,0
Fornax-A,fixed,rv2_coarse,5,2.2,1159,3698,2333304.8099654876,2850358.8745267713,517054.0645612837,1.4746682855194548,0.1403017464855716,0
Fornax-A,fixed,rv2_coarse,6,3.93,1123,3525,1769826.2266807659,1552564.2841134751,-217261.94256729074,-1.181449956998188,0.23742402222789005,0
Fornax-A,fixed,rv2_coarse,7,4.7,1148,3584,375921.72517421603,2884757.7725618905,2508836.0473876745,1.5101921801108014,0.13099439348148145,0
Fornax-A,fixed,rv2_coarse,8,6.55,1070,3466,644050162.9944509,7496955.614129895,-636553207.380321,-0.9909260085565568,0.32172171137786565,0
Fornax-A,fixed,rv2_coarse,9,9.18,1246,3864,354769162.21118516,326499230.71334046,-28269931.497844696,-0.08480707975383492,0.9324147649911751,0
Cygnus-A,fixed,rv2_coarse,1,0.45,18,5076,20174833.131944444,1938148690.6428905,1917973857.510946,4.157550124958395,3.21678708774531e-05,0
Cygnus-A,fixed,rv2_coarse,2,0.7,17,4696,4053915.117647059,303913288.97062266,299859373.8529756,1.3141903629656346,0.18878215076138538,0
Cygnus-A,fixed,rv2_coarse,3,0.9,20,4707,4517808.134375,10451929.515654875,5934121.381279875,0.7487860367439326,0.45398617707160316,0
Cygnus-A,fixed,rv2_coarse,4,1.31,22,4649,5743130.2272727275,2078692.410357066,-3664437.8169156616,-0.9726672780613997,0.33071869322395164,0
Cygnus-A,fixed,rv2_coarse,5,2.2,20,4837,1587762.859375,2731687.4375775275,1143924.5782025275,2.768046875701193,0.005639334389802242,0
Cygnus-A,fixed,rv2_coarse,6,3.93,22,4626,548147.4431818182,1610083.1626269997,1061935.7194451815,10.462864457603853,0.0,0
Cygnus-A,fixed,rv2_coarse,7,4.7,25,4707,354579.6125,2286310.921404146,1931731.308904146,1.5263910126906741,0.1269125145359038,0
Cygnus-A,fixed,rv2_coarse,8,6.55,18,4518,827975.0833333334,158278711.6005172,157450736.51718387,1.034416265855984,0.30094160343750254,0
Cygnus-A,fixed,rv2_coarse,9,9.18,35,5075,2024290.9714285715,335677744.51379,333653453.54236144,2.5354386964537783,0.011230658341235378,0
Sag-A,fixed,rv2_coarse,1,0.45,801,4293,900139151.0936329,2123781607.424572,1223642456.330939,1.4473386743317602,0.14780209240605124,0
Sag-A,fixed,rv2_coarse,2,0.7,734,3979,64678184.34468665,346763491.8959648,282085307.5512782,1.0302913133400486,0.3028732755917183,0
Sag-A,fixed,rv2_coarse,3,0.9,686,4041,6720025.0392674925,11056087.902978841,4336062.863711349,0.46236844486331996,0.6438171240948443,0
Sag-A,fixed,rv2_coarse,4,1.31,713,3958,2299805.375876578,2059229.0671424961,-240576.30873408192,-0.9990707377314061,0.3177604253402677,0
Sag-A,fixed,rv2_coarse,5,2.2,722,4135,2520096.6711391965,2763099.781423821,243003.11028462462,0.787093152832435,0.43122733736018715,0
Sag-A,fixed,rv2_coarse,6,3.93,675,3973,1056127.7354629629,1698318.0801975837,642190.3447346208,4.528766316671642,5.932906944394745e-06,0
Sag-A,fixed,rv2_coarse,7,4.7,670,4062,2287747.2239738805,2274184.9722548784,-13562.251719002146,-0.00579457751203273,0.9953766219400813,0
Sag-A,fixed,rv2_coarse,8,6.55,699,3837,2441187.424451225,185929562.8232852,183488375.39883396,1.0237913654158932,0.3059338296141314,0
Sag-A,fixed,rv2_coarse,9,9.18,764,4346,194094144.00335404,357880229.5381781,163786085.53482404,0.7342810752042062,0.462777449501921,0
Mercury,planet,rv2_coarse,1,0.45,765,4329,1689534338.8189542,1974107676.4849129,284573337.66595864,0.29422655574264506,0.7685847897148923,0
Mercury,planet,rv2_coarse,2,0.7,736,3977,16680778.14673913,355787947.9122565,339107169.76551735,1.2584495198635164,0.2082292325345736,0
Mercury,planet,rv2_coarse,3,0.9,741,3986,3187553.9600202427,11772606.851103863,8585052.89108362,0.9680502920078623,0.3330192533640979,0
Mercury,planet,rv2_coarse,4,1.31,705,3966,1919521.2815602836,2127314.013426626,207792.73186634248,0.8357213913604925,0.40331165822697357,0
Mercury,planet,rv2_coarse,5,2.2,742,4115,2220224.0088443398,2818352.6556956256,598128.6468512858,1.9951817589650387,0.04602305977004706,0
Mercury,planet,rv2_coarse,6,3.93,723,3925,1427495.2384163209,1637764.304888535,210269.06647221418,1.218828786363973,0.22290918321305142,0
Mercury,planet,rv2_coarse,7,4.7,725,4007,3595292.203275862,2037420.3019682597,-1557871.9013076024,-0.4458371747375776,0.6557148665708179,0
Mercury,planet,rv2_coarse,8,6.55,702,3834,2261364.4891381767,186106062.77810687,183844698.28896868,1.0249791911406472,0.3053730063358573,0
Mercury,planet,rv2_coarse,9,9.18,791,4319,373954380.0112496,325963762.2140741,-47990617.79717553,-0.13147782453121723,0.8953973277438294,0
Venus,planet,rv2_coarse,1,0.45,1033,4061,3008194792.91227,1657458921.3546693,-1350735871.5576007,-0.8831954273475514,0.37713069176630665,0
Venus,planet,rv2_coarse,2,0.7,965,3748,14101098.03626943,377171334.56724757,363070236.53097814,1.2700213522246302,0.20407702442640407,0
Venus,planet,rv2_coarse,3,0.9,981,3746,1951501.7282110092,12646333.475040043,10694831.746829033,1.1419601938583395,0.25347056611563135,0
Venus,planet,rv2_coarse,4,1.31,997,3674,2641046.263979438,1948031.2345025858,-693015.0294768524,-0.7788914883813797,0.43604363828926496,0
Venus,planet,rv2_coarse,5,2.2,1035,3822,4073098.583152174,2362446.4571395866,-1710652.1260125875,-1.560406623147917,0.11866382068005454,0
Venus,planet,rv2_coarse,6,3.93,952,3696,1303505.9852941176,1682728.9653848757,379222.98009075806,1.523884650991032,0.12753752834864662,0
Venus,planet,rv2_coarse,7,4.7,1022,3710,400244.42293230566,2792851.8051549867,2392607.382222681,1.4908321067880748,0.13600557998996865,0
Venus,planet,rv2_coarse,8,6.55,930,3606,21259867.179435484,192830406.56843087,171570539.38899538,0.8975598641457334,0.3694202446716601,0
Venus,planet,rv2_coarse,9,9.18,1051,4059,1051333925.9944249,147495306.07818276,-903838619.9162421,-1.7366693088988756,0.08244555803317177,0
